data_ex,valor,Tipo,data_pag,Por quantas ações,Ativo
2025-08-29,0.0235,JRS CAP PROPRIO,2025-10-01,1,ITSA4.SA
2025-08-18,0.1859,JRS CAP PROPRIO,2025-08-29,1,ITSA4.SA
2025-06-20,0.0591,JRS CAP PROPRIO,2025-08-29,1,ITSA4.SA
2025-05-30,0.0235,JRS CAP PROPRIO,2025-07-01,1,ITSA4.SA
2025-02-28,0.0235,JRS CAP PROPRIO,2025-04-01,1,ITSA4.SA
2025-02-17,0.4082,DIVIDENDO,2025-03-07,1,ITSA4.SA
2025-02-17,0.1011,JRS CAP PROPRIO,2025-03-07,1,ITSA4.SA
2025-02-17,0.0922,DIVIDENDO,2025-04-22,1,ITSA4.SA
2024-12-11,0.0581,JRS CAP PROPRIO,2025-03-07,1,ITSA4.SA
2024-11-29,0.0235,JRS CAP PROPRIO,2025-01-02,1,ITSA4.SA
2025-09-26,0.1102,JRS CAP PROPRIO,2026-03-11,1,WEGE3.SA
2025-07-25,0.1715,DIVIDENDO,2025-08-13,1,WEGE3.SA
2025-06-20,0.0941,JRS CAP PROPRIO,2025-08-13,1,WEGE3.SA
2025-03-21,0.0807,JRS CAP PROPRIO,2025-08-13,1,WEGE3.SA
2025-02-28,0.3027,DIVIDENDO,2025-03-12,1,WEGE3.SA
2024-12-20,0.0798,JRS CAP PROPRIO,2025-03-12,1,WEGE3.SA
2025-10-01,0.019,JRS CAP PROPRIO,2025-11-03,1,BBDC4.SA
2025-09-29,0.2972,JRS CAP PROPRIO,,1,BBDC4.SA
2025-09-01,0.019,JRS CAP PROPRIO,2025-10-01,1,BBDC4.SA
2025-08-01,0.019,JRS CAP PROPRIO,2025-09-01,1,BBDC4.SA
2025-07-01,0.019,JRS CAP PROPRIO,2025-08-01,1,BBDC4.SA
2025-06-30,0.2972,JRS CAP PROPRIO,,1,BBDC4.SA
2025-06-02,0.019,JRS CAP PROPRIO,2025-07-01,1,BBDC4.SA
2025-05-02,0.019,JRS CAP PROPRIO,2025-06-02,1,BBDC4.SA
2025-04-01,0.019,JRS CAP PROPRIO,2025-05-02,1,BBDC4.SA
2025-03-31,0.2278,JRS CAP PROPRIO,2025-10-31,1,BBDC4.SA
2025-03-05,0.019,JRS CAP PROPRIO,2025-04-01,1,BBDC4.SA
2025-02-03,0.019,JRS CAP PROPRIO,2025-03-05,1,BBDC4.SA
2025-01-02,0.019,JRS CAP PROPRIO,2025-02-03,1,BBDC4.SA
2024-12-30,0.294,JRS CAP PROPRIO,2025-07-31,1,BBDC4.SA
2024-12-02,0.019,JRS CAP PROPRIO,2025-01-02,1,BBDC4.SA
2024-11-01,0.019,JRS CAP PROPRIO,2024-12-02,1,BBDC4.SA
2024-12-16,2.0174,JRS CAP PROPRIO,2025-01-10,1,SUZB3.SA
2025-08-21,0.336,JRS CAP PROPRIO,2025-11-21,1,PETR4.SA
2025-08-21,0.2009,DIVIDENDO,2025-12-22,1,PETR4.SA
2025-08-21,0.135,JRS CAP PROPRIO,2025-12-22,1,PETR4.SA
2025-06-02,0.4546,JRS CAP PROPRIO,2025-08-20,1,PETR4.SA
2025-06-02,0.3084,DIVIDENDO,2025-09-22,1,PETR4.SA
2025-06-02,0.1461,JRS CAP PROPRIO,2025-09-22,1,PETR4.SA
2025-04-16,0.3548,DIVIDENDO,2025-06-20,1,PETR4.SA
2025-04-16,0.3548,DIVIDENDO,2025-05-20,1,PETR4.SA
2024-12-23,0.6641,JRS CAP PROPRIO,2025-02-20,1,PETR4.SA
2024-12-23,0.6536,DIVIDENDO,2025-03-20,1,PETR4.SA
2024-12-23,0.0105,JRS CAP PROPRIO,2025-03-20,1,PETR4.SA
2024-12-11,1.5517,DIVIDENDO,2024-12-23,1,PETR4.SA
2025-08-18,0.639,JRS CAP PROPRIO,2025-11-27,1,TAEE11.SA
2025-08-18,0.2302,DIVIDENDO,2025-11-27,1,TAEE11.SA
2025-05-12,0.5465,JRS CAP PROPRIO,2025-08-27,1,TAEE11.SA
2025-04-29,0.5533,DIVIDENDO,2025-05-28,1,TAEE11.SA
2025-04-29,0.3219,DIVIDENDO,2025-11-27,1,TAEE11.SA
2024-11-11,0.3999,JRS CAP PROPRIO,2025-01-29,1,TAEE11.SA
2024-11-11,0.2691,DIVIDENDO,2025-01-29,1,TAEE11.SA
